title,author,publisher,category,publish_date,description
Machine Learning in Quantum Sciences,"Dawid, Anna",Cambridge University Press,QC174.12. D3M,2025,
Databricks Data Intelligence Platform : unlocking the GenAI revolution,"Gupta, Nikhil",Apress,Q336. G8D,2024,
Databricks Certified Data Engineer Associate Study Guide : in-depth guidance and practice,"Alhussein, Derar",O'Reilly Media,QA76.9.D343. A4D,2025,
"Palantir Foundry by Use cases : An introduction to Contour, Reports, Fusion and Recipes in the Palantir Foundry","Altstaedt, Kai",Independently published,HD38.7. A4P,2022,
AI에이전트 및 멀티모달 AI 기술 동향과 AGI 개발 현황,하연,하연,,2024,
김환기 : 1913~1974 = Kim Whanki,마로니에북스 편집부,마로니에북스,650.8. 마235김,2012,
특허로 말하라 : 기업과 개인의 경쟁력을 높이는 세상 쉬운 특허 설명서 = Speak patent,신무연,이담북스,K1500. 신37트,2020,
"돈 버는 NFT 처음부터 제대로 만들고 판매하기 : 비트코인, 가상화폐, 메타버스, 블록체인 모르는 사람도 돈 버는 NFT 시작하기",이영호,흔들의자,QA76.9.B56. 이64도,2022,
로블록스 게임 제작 무작정 따라하기 : 미래의 프로그래머를 위한,서종원,길벗,QA76.76.C672. 서75로,2021,
3D 사용자 인터페이스 2/e : AR/VR 인터페이스 개발자를 위한 필독서,"LaViola, Joseph J",에이콘,QA76.9.U83. L3T,2022,
"Creating Games with Unreal Engine, Substance Painter, & Maya : Models, Textures, Animation, & Blueprint","Li, Jingtian",CRC Press,QA76.76.C672. L5C,2021,
멘탈의 거장들 : 매 순간 다시 일어서는 일에 관하여,"Millman, Debbie",윌북,325.211. M5메,2022,
박서보 : 단색화에 담긴 삶과 예술,"Lim, Kate",마로니에북스,653.11. L5바,2019,
(한국의 화가) 이중섭 작품선,작가와비평,작가와비평,653.11. 작11이,2015,
짝퉁 미술사 : 위작 감정의 대가 토머스 호빙이 들려주는 위조 미술의 역사,"Hoving, Thomas",이마고,609. H6짜,2010,
광장 : 미술과 사회 1900-2019 = The square : art and society in Korea 1900-2019 : the fiftieth anniversary exhibition of MMCA Korea,국립현대미술관진흥재단,국립현대미술관진흥재단,606.3. 국239광,2019,
위작 × 미술시장 : 역사상 가장 영리한 미술품 위조범의 고백,"Perenyi, Ken",라의눈,601.3. P4우,2018,
장욱진 : 1917~1990 = Chang Uc chin,갤러리현대,마로니에북스,653.11. 마235장,2011,
이중섭 : 1916-1956 = Lee Jung Seob,국립현대미술관,마로니에북스,653.11. 국239이,2016,
Lee Ufan,이우환,Mudima,606.3. 이67L,1994,
Marc Chagall : The Lithographs,"Gauss, Ulrike",D.A.P,659.4. G3M,1998,
"4차 산업 혁명 시대, 전문직의 미래  : 빅 데이터, 인공 지능, 기술 혁신이 가져올 새로운 전문직 지형도",리처드 서스킨드,와이즈베리,331.5412. 리813사,2016,
의식의 강,올리버 색스,알마,511.1813. S2으,2018,
"바보 아저씨의 경제 이야기 1 : 사회초년생, 직장인, 부모님들께 꼭! 들려주고 싶은",바보아저씨,바른북스,320.04. 바45바 v.1,2018,
"인류본사 : 오리엔트-중동의 눈으로 본 1만 2,000년 인류사",이희수,휴머니스트,909. 이98이,2022,
통계학 입문 : Excel·SPSS·R로 배우는 = Introduction to Statistics,박상언,자유아카데미,QA276.12. 강51토,2014,
"제프 베조스, 발명과 방황 = Invent & Wander",제프 베조스,위즈덤하우스,325.555099. 제848제,2021,
AI 마인드 : 세계적인 인공 지능 개발자들이 알려주는 진실,마틴 포드,터닝포인트,331.5412. F6A,2019,
"안녕, 인간 : 부와 권력을 지배하는 인공 지능의 보이지 않는 공포가 온다",해나 프라이,와이즈베리,331.5412. 해211안,2019,
어떻게 인간과 공존하는 인공지능을 만들 것인가,스튜어트 러셀,김영사,004.73. 스837어,2021,
대전환이 온다,더글러스 러시코프,알에이치코리아(RHK),331.544. 더18대,2021,
인공 지능 1. : 현대적 접근 방식,스튜어드 러셀,제이펍,Q335. R8인 v.1,2021,
"사라진 중성미자를 찾아서 : 유령입자의 탄생에서 약력의 발견, 빛나는 태양의 수수께끼까지, 자신의 정체를 바꾸는 입자, 중성미자 이야기",박인규,계단,429.22. 박69사,2022,
베이즈 통계학 : 만화로 쉽게 배우는,타카하시 신,성안당,QA279.5. 타821베,2018,
당신도 느리게 나이 들 수 있습니다 : 나이가 들어도 몸의 시간은 젊게,정희원,더퀘스트,511.1687. 정98다,2023,
Diffusion model : 생성형 AI 모델의 이론과 응용,양링,지니북스,Q336. 양239D,2024,
AI 전쟁 2.0 : AI 세계 전쟁의 실체와 대한민국의 전략 카드,하정우,한빛비즈,,2025,
Physical AI : 인공지능에 몸을 더하다 = Physical AI : embodied AI,손병희,지오북스,,2025,
(Physical AI로 떠나는) 강화학습 첫걸음,김원하,진샘미디어,,2025,
청진기가 사라진 이후 : 환자 중심의 미래 의료 보고서,"Topol, Eric",청년의사,510.74. T6처,2015,
실리콘밸리 길들이기 : 폭주하는 빅테크 기업에 브레이크를 걸다,"Marcus, Gary",에이콘,331.5412. M3시,2025,
마음이 태어나는 곳: 몇 개의 유전자에서 어떻게 복잡한 인간 정신이 태어나는가?,"Marcus, Gary",해나무,182.4. M3마,2005,
나는 AI와 공부한다 : 우리가 알고 있는 교육의 종말,"Khan, Salman",RHK(알에이치코리아),373.33. K48나,2025,
오렌지만이 과일은 아니다,"Winterson, Jeanette",민음사,843.6. W5오,2024,
12바이트,"Winterson, Jeanette",뮤진트리,331.5412. W5시,2022,
프랭키스슈타인 : 지넷 윈터슨 장편소설,"Winterson, Jeanette",민음사,843.6. W5프,2023,
"예술과 거짓말 : 예술과 성과 사랑, 우리 시대에 던지는 위험한 물음표들","Winterson, Jeanette",뮤진트리(mujintree),843.6. W5여,2018,
시간의 틈 : 윌리엄 셰익스피어 겨울 이야기 다시 쓰기,"Winterson, Jeanette",현대문학,843.6. W5시,2016,
일론 머스크,"Isaacson, Walter",21세기북스,325.099. I8일,2023,
마스터스 오브 스케일 : 세계에서 가장 성공한 기업가들에게 물었다,"Hoffman, Reid",인플루엔셜,"325.21, H6마",2022,
"블리츠 스케일링 : 단숨에, 거침없이 시장을 제패한 거대 기업들의 비밀","Hoffman, Reid",쌤앤파커스,325.19. H6브,2020,
초예측 트럼프 2.0 새로운 시대 : 새로운 룰이 지배하는 뉴 트럼프 시대의 탄생,"Harari, Yuval Noah",한스미디어,331.544. H3초,2024,
인간을 진화시키는 AI : 오픈AI 투자자 리드 호프먼과 GPT-4의 대화,"Hoffman, Reid",RHK(알에이치코리아),331.544. H6이,2023,
